col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30|col31|col32|col33|col34|col35|col36|col37|col38|col39|col40|col41|col42|col43|col44|col45|col46|col47|col48|col49|col50|col51|col52|col53|col54|col55|col56|col57|col58|col59|col60|col61|col62|col63|col64|col65|col66|col67|col68|col69|col70|col71|col72|col73|col74|col75|col76|col77|col78|col79|col80|col81|col82|col83|col84|col85|col86|col87|col88|col89|col90|col91|col92|col93|col94|col95|col96|col97|col98|col99|col100|col101|col102|col103|col104|col105|col106|col107|col108|col109|col110|col111|col112|col113|col114|col115|col116|col117|col118|col119|col120|col121|col122|col123|col124|col125|col126|col127|col128|col129|col130|col131|col132|col133|col134|col135|col136|col137|col138|col139|col140|col141|col142|col143|col144|col145|col146|col147|col148|col149|col150
17|76|80|95|59|64|86|43|92|10|67|40|66|28|64|32|13|99|10|45|70|32|18|28|39|32|30|8|62|98|63|38|35|56|78|6|44|47|2|96|46|68|5|48|20|68|26|31|23|49|40|16|21|70|76|40|89|85|16|83|34|39|83|84|13|25|42|76|24|49|62|37|78|97|96|43|85|23|97|22|99|73|38|96|54|17|73|94|90|69|95|91|99|60|74|66|25|79|39|9|79|75|74|41|10|15|4|4|75|69|60|23|85|32|22|36|99|24|93|55|45|81|91|17|94|80|45|72|70|38|49|65|23|98|29|82|6|51|46|84|77|61|63|84|23|8|6|13|88|64
15|27|32|46|63|14|76|60|70|90|22|4|99|53|16|60|20|92|6|88|82|39|77|96|99|95|1|2|29|61|43|87|70|37|97|78|67|55|68|82|26|46|38|100|41|25|87|69|71|45|34|91|98|84|53|58|71|81|42|20|67|26|53|59|35|37|87|69|72|96|44|63|94|30|67|28|52|84|53|18|48|13|30|23|75|2|40|51|79|10|4|85|45|78|80|57|36|25|86|21|36|50|9|90|52|42|60|66|51|56|56|19|17|51|45|15|23|18|84|52|87|45|79|40|89|17|60|11|42|17|42|91|6|48|63|33|88|15|90|28|59|23|72|4|11|67|35|24|52|62
75|58|28|91|6|44|23|80|61|96|6|58|38|77|88|33|52|97|78|58|24|86|6|100|12|47|91|76|94|93|27|15|41|59|68|74|88|64|74|94|5|79|73|13|71|40|51|15|84|64|59|20|12|12|74|10|9|75|14|32|61|3|74|48|98|56|1|29|22|66|60|39|61|62|91|99|71|20|57|32|79|35|82|7|14|34|28|71|74|82|97|57|9|53|67|33|49|88|97|17|18|66|82|97|52|16|44|99|57|9|3|16|60|35|41|64|9|92|57|55|7|41|18|33|12|6|11|7|82|51|11|52|64|6|66|89|88|30|42|65|55|53|85|84|24|41|65|28|85|68
18|7|30|69|47|80|28|86|52|18|53|63|90|62|36|49|75|88|22|79|32|33|28|37|9|81|80|73|6|87|88|38|55|27|40|70|69|27|20|43|22|57|52|67|71|14|41|63|99|38|43|72|94|18|15|96|10|90|81|99|77|95|20|72|95|11|89|95|21|76|23|14|68|26|100|83|32|57|76|100|92|89|16|95|53|45|24|68|87|17|81|79|20|47|11|56|5|94|33|70|71|86|78|92|3|15|87|63|20|23|82|12|54|61|57|34|27|37|80|61|72|37|51|88|43|27|11|89|81|73|86|61|99|37|77|98|56|2|43|71|98|71|83|35|81|52|66|81|7|10
23|100|71|79|70|9|30|42|69|30|70|32|43|79|97|49|15|67|82|71|76|94|60|36|34|56|35|38|58|56|4|78|45|46|49|78|48|8|50|53|72|84|81|81|85|39|15|16|52|18|57|98|30|14|24|76|50|56|25|91|79|78|68|67|1|12|27|45|87|34|57|2|40|10|52|65|48|46|34|52|14|51|55|84|92|21|24|32|24|53|92|60|57|88|21|33|25|72|54|89|46|50|83|99|90|93|45|5|20|48|83|11|4|30|41|51|54|59|80|29|44|81|83|2|7|31|41|90|36|34|43|32|84|93|71|41|93|15|69|98|30|6|60|88|70|73|63|52|81|81
28|41|2|96|30|82|45|64|5|25|33|26|41|31|70|63|37|67|78|46|19|24|9|86|15|76|41|85|18|28|68|98|60|69|38|38|78|85|84|30|96|11|26|93|6|87|43|5|97|73|85|78|33|10|72|58|93|58|76|68|34|85|40|18|91|20|13|35|89|71|32|91|16|29|53|11|4|33|2|23|60|78|32|59|53|88|7|28|5|67|46|7|82|75|30|32|90|65|37|79|38|83|75|72|94|65|74|29|100|93|27|11|28|77|39|47|57|60|84|29|14|55|89|69|36|12|41|36|37|63|48|66|25|36|94|23|23|55|46|46|30|50|83|30|56|13|86|6|89|88
91|12|4|52|82|22|62|51|26|60|75|81|65|89|19|58|20|72|18|75|84|71|35|66|11|12|29|37|46|13|32|75|32|100|94|29|89|51|34|7|28|56|82|93|36|89|31|35|28|90|90|58|85|57|10|53|69|78|66|84|50|99|57|13|1|27|60|55|49|78|17|10|75|24|82|33|11|22|81|37|56|61|17|93|60|37|17|18|90|31|63|62|61|9|61|54|99|3|36|95|5|52|49|70|65|7|5|84|24|19|10|76|58|8|71|47|69|96|90|75|39|99|67|13|33|61|100|69|37|91|100|38|60|35|66|89|65|26|23|2|12|74|46|27|64|63|72|34|53|85
88|8|55|46|49|74|20|96|8|69|67|50|49|18|42|60|63|71|70|92|47|87|24|25|16|8|30|85|29|91|41|76|79|25|6|98|21|96|38|65|37|22|98|98|54|64|24|27|74|85|49|53|25|25|15|93|37|79|7|44|80|3|17|65|27|37|72|78|34|77|72|67|55|89|15|92|44|10|22|9|17|76|2|35|58|74|51|41|41|13|83|62|88|90|23|76|67|48|84|37|76|70|1|16|88|12|48|4|10|83|53|56|17|55|1|81|59|39|58|98|12|100|68|40|87|1|53|16|89|44|74|44|7|62|2|16|90|42|100|19|46|65|24|68|33|25|30|72|54|79
91|13|44|78|8|1|79|30|65|56|30|49|76|71|39|3|82|91|75|83|93|41|13|19|46|44|12|19|84|4|21|61|51|70|89|67|88|1|27|70|4|33|40|63|36|63|93|25|73|33|88|39|76|3|44|96|92|13|25|15|82|44|80|96|54|4|74|84|48|60|48|4|13|72|57|97|44|13|85|21|7|24|84|47|66|36|57|74|6|32|92|96|22|98|7|39|34|15|25|96|97|64|70|24|5|82|56|25|23|89|46|51|14|10|41|3|31|7|90|80|63|80|49|47|62|41|82|17|16|73|9|83|88|45|20|39|96|16|62|23|57|100|98|34|63|28|13|69|52|83
76|7|37|88|52|85|31|43|3|43|28|97|85|52|98|34|45|52|68|73|96|75|26|77|67|12|14|34|77|64|22|79|41|8|32|76|85|20|99|28|61|100|12|48|2|90|71|24|72|45|48|91|84|52|91|97|24|87|90|38|28|32|95|33|91|25|12|98|40|95|20|76|40|91|18|52|13|57|90|13|42|66|18|5|56|69|5|81|39|28|15|13|85|55|73|54|34|74|71|56|33|96|87|59|88|22|21|61|91|28|1|51|54|2|96|44|47|86|33|23|82|81|11|94|89|30|99|20|36|77|98|21|87|82|17|40|35|20|82|75|29|94|4|27|22|57|86|97|81|50
98|88|67|12|18|39|54|20|15|14|61|75|21|82|75|96|83|32|25|86|36|35|33|47|3|70|40|32|7|37|60|12|18|54|98|77|37|11|40|17|5|34|37|74|57|93|88|59|83|41|22|91|42|34|55|97|34|100|48|34|94|23|98|69|67|47|76|85|29|89|86|62|5|29|68|93|68|99|23|50|17|64|86|22|91|22|78|72|80|75|40|9|58|3|55|72|22|87|52|43|62|1|11|62|80|34|59|60|59|63|14|10|30|66|23|45|55|22|50|1|41|72|48|21|36|64|95|35|29|10|100|50|40|10|59|43|88|96|85|88|45|25|46|30|72|40|36|83|80|95
98|28|30|77|29|18|35|69|54|14|94|92|96|42|63|32|41|1|47|83|89|55|26|76|67|53|69|46|28|63|45|2|9|52|27|98|95|68|21|52|85|60|77|2|35|50|69|39|71|35|7|96|77|56|39|61|49|81|35|16|49|34|1|26|13|92|87|69|8|70|100|63|61|87|14|59|48|80|42|99|1|6|79|79|10|75|29|49|21|80|50|46|89|90|44|76|79|41|93|8|42|53|24|14|40|31|46|8|41|14|12|30|33|48|55|93|10|12|76|91|37|66|75|13|63|56|70|19|33|84|55|66|7|75|11|46|99|23|73|49|97|40|80|48|99|67|62|61|32|19
41|39|56|89|100|74|88|8|7|3|11|52|23|24|25|68|12|95|76|80|25|80|27|63|17|44|81|1|85|17|55|83|19|87|46|51|13|87|6|99|75|1|30|66|12|13|27|21|39|22|18|78|75|9|86|56|97|87|6|31|65|100|70|21|97|31|1|14|31|92|38|93|43|3|12|51|38|27|46|89|92|91|82|65|65|39|95|12|90|26|24|80|11|29|31|94|20|10|82|99|16|3|51|22|80|33|25|7|77|27|73|1|11|84|52|88|13|81|72|88|27|1|40|22|41|68|38|76|81|12|3|12|71|85|81|79|98|67|34|10|1|68|66|62|16|53|5|45|40|34
66|47|35|95|55|26|38|6|28|90|27|41|22|32|96|45|66|87|4|16|41|100|55|81|33|79|39|66|32|67|96|81|23|74|38|62|34|36|45|77|31|22|61|26|94|14|26|21|2|23|6|63|65|55|7|52|23|97|29|69|47|99|64|26|22|79|74|67|64|90|44|43|31|14|97|23|53|63|83|72|88|66|38|85|85|63|83|15|96|72|45|83|89|54|58|17|80|59|41|64|63|5|97|54|66|98|69|87|7|60|73|61|46|76|98|73|6|1|9|94|14|82|51|74|23|30|86|48|85|28|4|63|92|57|65|62|60|29|86|73|65|92|83|10|79|65|60|34|4|29
14|83|17|81|16|20|37|47|2|82|35|7|73|99|47|20|24|48|28|62|60|10|85|52|68|67|40|43|9|57|7|25|67|19|89|20|83|90|25|4|48|73|55|80|58|49|23|42|17|91|56|97|80|78|77|86|10|92|33|23|16|54|2|29|2|75|1|17|32|26|9|78|21|46|2|77|64|80|73|77|11|83|77|89|26|37|56|13|88|77|39|41|73|72|53|21|88|63|35|27|51|83|41|96|91|12|16|81|22|50|57|55|20|53|18|50|44|58|86|36|50|61|69|30|33|6|41|28|38|56|17|30|54|73|9|100|51|30|38|59|90|64|93|51|53|77|44|10|35|15
38|33|69|80|2|52|73|62|86|97|38|45|58|53|32|76|19|99|44|35|14|97|86|98|91|62|79|96|4|41|67|30|91|35|84|100|74|73|95|11|87|88|30|61|84|73|53|80|27|76|17|98|14|9|98|60|3|55|29|30|95|18|63|26|37|54|63|48|4|33|8|21|51|67|17|3|6|70|39|21|26|79|98|18|46|100|57|98|52|73|54|38|14|2|37|43|54|50|92|33|23|80|27|71|99|31|13|98|93|50|97|91|42|48|58|63|82|5|22|98|20|47|65|35|100|42|36|2|86|68|59|56|75|38|15|21|84|52|62|99|72|54|65|35|83|74|27|67|73|75
60|65|12|84|56|14|33|40|34|85|11|69|94|7|24|44|63|4|62|26|32|15|96|88|70|34|5|24|13|29|39|72|26|33|83|30|90|95|25|83|57|77|54|84|45|30|55|60|68|75|4|44|80|58|33|84|37|39|34|75|19|57|56|99|14|100|75|93|59|10|64|86|4|84|59|52|73|9|28|6|1|67|3|42|85|4|39|43|25|32|21|16|75|88|80|33|3|14|73|95|11|58|19|44|22|62|95|53|81|70|28|78|87|2|43|55|65|49|70|85|36|98|72|75|98|58|54|75|30|89|100|51|95|61|97|12|39|74|93|41|80|65|72|3|45|85|74|93|3|17
53|34|95|71|13|15|13|49|17|13|22|38|38|20|83|28|46|81|5|88|31|80|69|34|87|83|59|31|12|45|93|28|71|83|16|79|51|81|11|68|20|100|66|58|59|54|62|57|33|97|78|2|78|31|79|62|55|47|20|72|98|45|28|33|85|76|27|41|94|31|33|9|61|1|69|38|51|61|11|10|67|90|76|75|45|89|63|68|63|2|81|36|34|57|32|1|92|31|56|73|35|28|97|60|84|60|69|59|15|39|34|2|61|55|28|14|48|80|57|95|24|27|31|68|92|5|76|77|28|17|31|96|21|24|17|59|15|30|73|87|78|13|6|84|60|8|56|53|20|76
42|73|100|80|8|43|3|78|65|40|24|5|89|91|29|99|63|3|26|27|89|70|15|48|13|10|80|60|33|32|59|89|91|42|67|22|24|37|52|76|40|37|65|21|46|56|88|83|25|77|54|87|55|39|31|75|71|49|1|37|90|73|86|15|77|89|2|37|97|93|33|32|51|63|94|40|30|43|78|47|71|37|84|9|42|80|48|15|1|76|3|83|56|30|60|27|99|64|72|95|89|79|34|62|3|97|99|74|92|45|95|26|47|17|94|57|47|53|39|22|69|84|83|40|81|62|100|2|98|56|100|92|59|63|34|36|82|22|11|11|91|76|89|67|65|12|76|46|23|48
81|67|53|36|10|41|16|92|30|98|31|49|81|47|76|50|16|83|98|83|80|29|70|57|10|5|98|12|95|62|65|72|15|59|29|91|86|12|51|75|40|39|75|43|92|42|44|13|10|84|20|10|56|85|91|73|20|84|36|32|73|24|32|57|30|34|7|52|16|68|85|68|52|85|30|38|69|50|20|88|61|11|39|36|53|87|79|43|23|63|26|78|66|37|96|100|21|73|67|64|41|68|39|14|20|13|81|53|67|76|56|93|97|26|96|6|20|17|70|70|15|85|2|67|26|98|92|47|51|86|50|95|36|47|54|14|24|60|100|29|47|33|15|94|4|68|44|8|52|92
49|38|85|22|19|24|96|25|60|5|38|98|55|100|58|94|19|73|81|95|87|56|62|97|2|31|76|83|83|11|44|11|25|40|83|38|61|10|4|5|79|21|11|29|70|23|23|94|96|13|27|32|76|65|100|23|14|70|38|66|56|78|97|42|16|38|80|43|80|60|50|59|23|13|56|22|60|1|88|93|60|91|95|87|25|42|17|49|63|29|38|92|12|44|24|76|92|8|74|100|14|2|40|22|45|58|60|52|80|83|95|55|44|36|8|94|66|85|1|13|74|27|87|63|52|72|82|82|22|20|90|76|62|77|95|66|2|18|55|62|63|54|39|72|63|50|65|68|16|98
62|70|93|84|8|39|63|44|2|91|2|72|18|10|55|91|63|80|96|13|20|74|91|65|98|49|8|4|12|72|84|85|78|82|55|47|21|89|43|4|95|30|70|75|42|98|93|84|83|15|74|47|89|26|58|63|78|98|85|35|99|32|12|51|54|60|84|31|37|98|6|70|1|23|36|62|63|68|78|45|73|16|73|83|68|97|3|2|72|43|88|9|52|42|77|23|48|35|67|61|95|27|81|32|88|8|46|76|31|2|90|43|55|25|68|6|10|43|64|60|96|75|22|40|42|41|40|45|67|96|28|83|83|21|40|16|59|24|80|97|55|5|51|44|94|79|2|2|29|49
3|54|62|19|2|69|23|61|66|22|55|57|81|74|51|95|91|65|58|74|32|90|93|65|54|100|56|52|92|22|57|17|57|84|74|83|66|15|40|93|29|59|77|72|51|8|93|8|91|54|72|19|12|75|26|47|34|74|17|16|31|34|97|2|93|45|36|18|69|31|57|42|18|85|37|86|2|49|1|5|99|24|68|42|51|21|25|37|94|59|94|74|1|40|89|99|28|49|61|97|56|84|25|69|71|56|47|22|86|58|57|15|63|26|19|75|24|13|59|73|22|45|72|13|93|56|82|93|21|99|26|13|77|11|14|60|33|94|34|47|36|33|22|56|39|31|81|55|2|8
86|13|83|73|28|76|5|33|44|55|4|1|12|9|45|67|81|45|33|23|16|1|98|40|10|11|93|53|9|9|70|49|64|71|9|34|59|9|39|18|68|25|94|74|75|89|33|40|51|70|93|23|91|58|99|90|36|64|57|25|15|61|52|100|45|74|49|63|41|7|85|47|25|82|38|32|53|79|96|72|43|19|41|78|55|34|59|31|38|21|20|92|64|18|57|88|13|73|65|10|60|12|51|65|52|64|41|49|78|71|28|12|24|80|9|68|37|100|68|64|64|38|58|84|40|45|28|25|100|90|53|58|75|35|80|73|52|26|96|85|7|22|67|27|23|41|91|50|3|52
38|79|83|30|75|61|44|31|43|83|94|60|99|10|1|12|74|41|6|57|67|79|75|68|19|36|65|78|61|46|89|21|97|15|50|74|42|88|32|8|55|100|84|4|26|47|8|23|7|98|50|87|93|76|44|21|62|92|47|13|88|77|92|14|27|89|8|42|14|11|58|17|28|37|15|23|94|4|29|5|32|46|52|61|86|32|54|20|89|21|92|44|14|76|3|49|14|68|37|54|94|7|7|35|1|10|2|19|70|59|73|13|54|27|53|35|62|20|17|1|100|77|3|47|79|90|88|67|70|32|75|9|2|83|7|24|22|82|51|61|92|20|33|54|40|79|12|46|85|21
25|47|55|35|19|35|59|84|19|47|92|23|99|45|32|71|51|37|24|10|18|99|54|29|18|40|30|10|69|74|25|13|51|58|27|99|32|72|97|93|89|27|82|44|6|27|92|64|40|71|100|67|77|93|6|82|53|91|17|18|17|77|80|24|18|17|90|57|18|20|45|53|75|31|5|96|23|63|31|28|71|29|65|79|68|59|32|96|46|1|22|8|23|56|63|52|76|45|24|47|62|63|36|99|24|3|49|45|97|78|46|64|87|29|71|56|41|1|95|74|87|38|41|84|69|62|11|2|26|33|15|15|22|68|99|82|37|32|78|76|71|19|54|53|12|15|92|63|90|81
2|49|98|41|94|57|77|21|2|11|71|43|73|19|1|21|87|74|92|58|2|67|6|41|76|5|63|71|4|74|73|98|53|74|1|58|96|86|93|98|5|8|79|77|45|56|52|93|8|98|26|75|38|16|59|48|93|94|72|75|28|37|25|96|32|71|36|11|94|53|94|88|4|14|88|35|3|23|2|67|13|74|77|60|49|68|32|41|75|85|14|52|28|82|36|73|32|18|46|80|15|96|20|69|31|2|17|71|16|33|77|90|97|25|10|33|97|91|50|38|50|41|21|52|78|17|80|19|20|26|74|59|2|24|53|98|8|23|41|94|26|65|8|83|35|75|28|72|54|64
72|51|21|53|83|68|56|97|48|42|18|10|86|76|21|49|74|19|84|8|47|31|10|18|86|45|22|2|22|84|83|13|14|18|5|99|18|52|55|28|95|85|80|91|56|73|93|95|7|88|13|9|75|35|3|3|52|70|4|91|54|63|64|49|8|91|33|53|15|16|50|68|95|66|64|65|94|5|6|96|90|50|22|45|45|53|30|69|66|5|63|54|70|86|40|74|58|12|86|14|33|86|79|100|53|89|89|27|39|8|60|17|65|75|53|63|29|7|50|80|1|24|67|19|82|5|21|72|58|87|69|83|32|100|43|77|63|27|50|95|78|11|43|46|1|71|77|66|42|56
91|76|86|98|13|93|34|100|50|4|23|12|65|69|98|60|28|38|28|37|66|64|78|48|95|6|8|31|63|7|68|24|26|29|94|10|26|53|22|77|21|87|35|11|73|30|74|36|14|57|22|38|74|87|69|86|33|95|92|97|72|75|12|74|87|95|90|80|8|75|95|45|95|88|49|63|22|53|74|84|63|56|31|81|54|48|61|21|81|46|11|55|13|18|27|85|37|53|5|21|13|86|1|14|82|8|17|11|50|94|17|13|19|5|44|17|87|33|49|27|76|29|73|25|91|11|50|64|57|45|70|41|98|38|80|81|98|62|13|93|27|95|22|84|43|74|90|45|31|43
46|10|13|72|89|12|13|22|17|78|91|6|73|58|26|13|42|97|70|67|58|69|90|95|80|67|92|14|75|99|71|44|12|6|93|17|4|36|80|81|4|52|13|92|35|24|46|23|73|13|84|89|93|69|24|46|67|30|12|43|73|69|99|63|25|53|1|63|31|20|3|30|58|82|73|34|65|43|49|45|53|33|81|97|47|11|33|97|4|74|17|30|41|17|64|43|3|83|54|35|4|80|30|57|68|83|86|98|27|17|78|44|5|75|17|88|15|30|15|59|84|62|52|45|57|93|19|99|88|4|31|38|77|78|78|70|100|26|32|44|88|20|24|6|10|96|60|24|18|21
36|6|72|72|22|18|35|78|77|89|66|88|23|27|12|35|57|21|3|5|18|100|91|72|11|97|51|39|77|35|14|77|58|48|71|29|54|6|54|90|19|5|66|74|83|75|29|5|63|46|35|4|4|54|87|8|9|97|16|29|23|35|42|64|19|49|12|56|52|79|6|63|98|35|99|55|53|75|45|56|39|60|2|51|1|55|97|6|7|82|47|85|58|97|50|37|32|89|55|17|71|100|94|29|40|71|72|26|57|99|22|51|35|92|66|75|9|64|27|35|82|23|60|39|44|17|11|5|52|10|2|88|81|94|68|47|48|77|12|51|92|52|47|80|33|77|61|61|55|59
40|37|81|6|29|63|85|11|8|23|91|38|5|20|22|34|60|15|55|97|63|34|87|44|69|51|72|45|50|32|50|29|15|84|33|29|56|11|61|70|10|98|98|75|70|81|18|92|89|52|20|5|30|64|10|91|26|68|68|36|63|87|32|42|76|21|99|48|59|1|31|29|45|53|84|45|85|93|26|2|40|4|48|28|18|87|43|30|34|84|67|1|97|22|75|27|1|43|47|31|93|88|83|8|62|55|30|100|92|63|89|33|86|3|16|87|14|29|30|55|24|76|100|59|14|1|42|96|52|2|33|73|56|48|52|69|88|98|58|56|53|37|63|97|91|79|35|23|8|76
6|18|57|32|98|25|79|35|99|35|86|43|38|66|27|65|5|53|23|15|53|57|96|65|53|94|42|29|13|9|73|7|36|66|91|20|42|20|49|71|93|20|4|77|92|57|77|95|39|70|50|54|64|92|71|29|38|83|4|86|58|75|63|82|10|29|15|89|49|9|56|4|63|40|49|52|58|77|82|61|42|86|37|76|85|18|36|3|86|72|52|48|62|62|79|1|65|71|8|67|85|9|78|72|28|70|64|5|30|43|86|42|39|36|87|54|32|27|45|19|52|55|39|18|97|87|81|66|19|64|71|29|26|12|67|41|52|38|76|96|73|82|44|27|19|78|77|1|16|70
73|92|55|55|33|69|44|22|17|39|26|1|83|82|1|77|61|63|87|60|90|1|29|24|72|99|6|21|50|37|19|10|14|3|4|91|66|100|68|29|36|67|7|8|58|69|23|10|66|21|81|68|54|92|77|10|11|91|4|7|72|90|40|18|96|25|63|74|34|13|32|66|85|12|97|2|89|81|13|74|71|15|10|99|48|80|45|24|87|71|19|5|78|28|1|8|50|21|36|64|30|100|86|81|98|33|32|7|70|10|9|45|10|76|28|14|29|88|56|94|69|37|78|43|34|70|54|39|92|100|67|84|99|67|1|82|96|8|97|71|85|21|82|26|43|12|72|32|34|3
40|32|42|30|4|74|1|22|40|26|15|46|6|91|6|50|93|15|96|51|39|15|3|45|95|5|62|81|22|95|87|90|93|81|37|74|74|50|55|56|34|88|60|39|97|30|28|50|87|70|65|12|64|75|85|48|59|88|44|16|37|31|53|85|84|7|17|99|81|3|63|45|80|75|76|81|98|27|52|49|34|24|15|5|45|35|63|89|51|75|25|98|18|30|3|48|74|71|48|48|63|40|65|4|41|8|38|23|44|80|64|88|96|39|72|78|100|14|7|57|51|74|4|41|20|97|35|58|9|55|19|97|77|6|85|45|86|82|73|92|30|17|19|68|34|17|92|77|3|34
60|76|49|43|50|75|73|86|48|91|21|32|96|52|5|72|99|17|17|11|53|88|30|79|75|68|64|81|94|35|22|91|77|38|96|43|16|32|98|53|8|71|96|57|69|43|60|50|62|18|39|80|62|70|24|18|67|91|98|71|71|98|38|96|44|21|7|26|62|69|84|51|35|65|100|25|15|66|70|93|53|83|47|61|14|64|89|46|94|60|35|24|94|43|63|67|94|20|16|8|24|51|89|60|43|36|8|86|37|14|91|93|19|22|12|7|17|43|89|77|18|55|47|100|85|21|75|21|52|97|54|65|10|28|66|57|70|44|31|5|29|23|77|12|95|87|53|36|41|95
81|16|58|28|12|88|99|29|85|80|29|11|48|44|15|8|5|98|31|70|61|19|24|49|88|48|8|27|62|70|9|53|43|97|54|80|57|66|82|55|32|83|67|84|90|73|6|78|32|93|91|54|77|94|16|69|50|89|94|63|89|58|18|19|23|52|7|79|5|75|21|7|14|59|54|2|79|66|88|36|60|52|35|40|90|12|13|91|8|16|53|41|100|87|76|95|48|89|98|52|38|40|18|28|50|50|89|66|94|83|4|94|90|66|81|28|90|99|17|20|13|31|48|14|55|32|63|75|94|38|2|49|3|65|4|80|58|11|27|74|45|76|26|1|31|25|62|31|51|80
41|64|97|38|53|94|91|98|94|10|24|49|6|93|61|45|4|21|49|11|73|75|52|1|92|70|46|31|63|73|21|41|91|64|23|73|24|73|81|13|15|68|69|17|45|55|72|2|98|59|23|6|87|44|17|6|61|73|14|51|25|63|50|40|15|39|26|54|76|99|8|14|67|42|80|10|94|91|64|6|88|87|77|63|85|82|16|68|63|3|70|45|40|77|96|64|92|79|51|10|27|23|68|94|6|51|19|70|55|94|36|74|13|50|21|35|18|50|100|73|69|9|23|61|100|33|26|14|43|36|30|1|92|3|39|63|91|9|66|98|26|18|1|18|7|60|9|98|94|38
72|98|75|34|76|81|74|72|17|15|100|100|93|65|25|60|88|14|98|90|35|86|28|67|97|69|97|47|70|85|31|16|22|32|35|32|21|20|67|14|47|29|35|87|5|6|35|46|54|5|13|30|50|87|43|66|29|41|58|48|85|11|67|95|15|67|47|81|96|72|26|25|17|66|40|9|18|14|46|71|3|48|81|36|46|48|53|58|3|81|55|48|8|99|8|54|43|23|55|34|36|51|4|97|64|26|5|26|81|52|35|94|76|32|80|58|79|47|69|14|55|50|55|14|36|4|28|84|77|51|99|25|84|79|56|68|68|21|2|72|16|80|15|27|4|98|19|57|65|77
3|7|46|63|75|17|65|22|11|21|5|97|45|77|22|80|30|71|3|56|38|21|1|44|40|67|58|65|28|20|42|71|89|14|51|61|42|54|32|87|88|57|37|14|89|64|67|68|72|62|83|53|39|8|32|62|50|24|37|4|42|85|60|33|45|64|22|81|75|98|52|22|57|9|85|56|9|98|16|24|90|90|10|34|18|52|32|52|61|7|68|45|90|23|48|77|95|33|20|64|25|99|49|64|57|23|78|63|7|16|18|71|42|41|33|18|31|74|27|40|25|63|73|60|44|27|70|11|7|83|93|12|91|50|2|95|43|31|79|14|88|69|19|68|67|80|50|86|73|46
89|92|13|27|66|7|70|52|8|6|26|24|54|86|74|6|66|54|60|60|30|42|68|93|90|38|69|48|86|73|79|61|77|55|80|38|76|4|98|83|27|67|75|54|57|53|53|60|74|15|100|74|5|35|13|69|24|71|2|47|85|61|93|63|80|50|57|50|48|9|5|38|65|80|64|61|84|55|84|100|96|40|42|12|63|88|61|55|12|23|63|7|3|61|81|83|38|12|88|17|8|92|100|9|58|63|33|77|32|1|2|76|98|12|85|86|77|43|38|81|89|99|29|12|45|12|37|55|19|20|38|63|45|90|17|55|11|78|63|32|90|54|51|7|85|38|29|10|87|96
77|5|23|15|21|49|13|84|58|19|28|40|49|72|54|62|55|66|80|69|39|93|67|49|9|28|38|3|75|10|80|39|26|91|71|76|35|44|76|63|96|43|35|48|1|45|20|36|39|17|15|30|43|16|23|14|97|69|83|57|20|72|12|6|26|79|72|46|14|41|1|87|75|14|44|67|45|53|43|42|32|55|4|87|40|86|4|22|63|72|42|38|53|24|12|32|44|21|64|32|31|63|94|62|83|68|84|59|12|67|3|66|56|23|80|68|22|94|17|73|75|80|46|44|13|9|56|96|58|2|23|48|46|5|41|12|78|74|7|20|37|53|78|32|31|9|41|70|5|5
19|14|38|66|88|80|29|46|19|74|1|8|99|96|73|89|32|49|7|20|3|6|28|33|34|64|46|12|18|67|56|64|25|59|4|66|62|28|2|73|3|67|47|6|57|11|8|12|58|74|1|4|88|55|50|81|73|48|12|42|52|11|83|55|70|46|99|4|94|19|12|32|85|13|92|29|58|80|5|9|86|62|99|17|75|6|97|43|83|69|12|83|6|61|50|83|41|29|85|59|38|31|45|77|24|63|21|61|83|22|98|94|79|83|2|46|87|83|49|32|92|50|79|98|53|6|88|49|100|83|5|48|26|85|80|56|27|91|48|91|68|3|75|81|21|96|96|57|84|47
94|60|31|12|94|15|97|77|2|12|12|27|4|69|42|27|53|58|57|1|97|79|77|59|44|1|86|64|95|54|74|52|94|35|96|73|79|22|12|54|4|54|74|56|13|62|28|46|32|72|4|3|19|23|45|4|93|42|37|24|55|33|41|50|3|74|5|3|72|88|46|85|49|22|3|88|62|62|94|68|53|33|18|56|100|11|58|91|15|92|75|62|95|1|9|92|54|73|15|40|31|70|6|80|54|61|43|39|46|37|46|100|82|60|32|18|7|13|13|64|63|29|87|81|1|2|78|23|55|45|87|34|20|72|18|10|18|23|26|78|39|85|34|14|80|47|63|63|90|13
91|99|82|1|97|83|12|32|61|38|55|8|39|21|45|11|2|80|94|71|47|69|71|78|80|61|19|47|39|98|25|10|87|56|85|65|47|81|35|2|44|52|59|36|85|11|88|60|66|41|17|76|3|43|47|53|29|62|93|80|40|19|73|38|53|71|46|10|72|13|90|97|64|60|73|91|8|67|50|87|13|34|22|55|100|62|28|98|96|19|92|23|29|90|5|83|39|27|44|53|13|63|12|14|46|94|37|2|50|85|57|92|24|20|43|62|8|65|25|6|81|44|92|78|74|29|80|41|76|42|65|93|41|35|4|96|46|25|87|75|98|44|33|89|38|73|69|81|49|89
